	Mouse_6.8	Mous_12.8	Mous_21.8	Mouse_24.8	Mouse_26.8	Mouse_27.8	Mouse_28.8	Mouse_34.8	Mouse_37.8	Mouse_49.8	Mouse_52.8	Mouse_56.8	Mouse_65.8	Mouse_66.8	Mouse_67.8	Mouse_8.8	Mouse_9.8	Mouse_15.8	Mouse_19.8	Mouse_22.8	Mouse_23.8	Mouse_25.8	Mouse_29.8	Mouse_30.8	Mouse_53.8	Mouse_54.8	Mouse_55.8	Mouse_70.8	Mouse_71.8	Mouse_1.8	Mouse_5.8	Mouse_31.8	Mouse_32.8	Mouse_33.8	Mouse_36.8	Mouse_38.8	Mouse_39.8	Mouse_40.8	Mouse_50.8	Mouse_51.8	Mouse_57.8	Mouse_63.8	Mouse_64.8	Mouse_0.8	Mouse_0.16	Mouse_0.24	Mouse_7.8	Mouse_10.8	Mouse_41.8	Mouse_42.8	Mouse_43.8	Mouse_45.8	Mouse_46.8	Mouse_47.8	Mouse_58.8	Mouse_59.8	Mouse_60.8	Mouse_62.8
zOTU_88	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74373055097932	0	2.98689353874454	0.252380027200311	0	0.105084334425434	0	0	0	0	0	0	0	0	1.12936880542514	1.1529372607755	0	0.0792024876531919	0	0	0	0	0	0	0	0	0	0	0.809345794392523	0.754684095860566	2.09178743961353	0.757522743177047	0.67577058134998	0	1.44634655532359	0	0	0	0	0	0	0	0	0	0
zOTU_880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105250364608653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_881	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.564684402712572	1.58528873356632	4.19107366911633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12106368089573	0.506827936012485	0.426741130091984	2.16951983298539	0	0	0	0	0	0	0	0	0	0
zOTU_883	0.14832576860495	0.103638104356151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0791228871630882	0	0	0.526251823043267	0.210168668850868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303009097270819	0.33788529067499	0.142247043363995	0.241057759220598	0	0	0	0	0	0	0	0	0	1.82079896490377
zOTU_885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158245774326176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158404975306384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_886	0	0	0	0	0	0	0	0	0	0	0	0	0.376767457037198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144117157596938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420184376516254
zOTU_893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336506702933748	0.210500729217307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924966622162884	0	0	0.454513645906228	0	0	0	0	0	0	0	0	0	0	0	0	0
